mu,sigmu
7.163102960773048e-21,4.480552282006176e-22
7.122321835700829e-21,1.1200961148885777e-21
7.306802182996533e-21,9.65668152142677e-22
7.815612192335162e-21,8.630438701191303e-22
7.243366177228594e-21,7.483485945018931e-22
7.391151028242733e-21,6.792165837885148e-22
7.236748855373941e-21,6.139323016887846e-22
7.108058892127346e-21,5.601518492398721e-22
7.197371984181441e-21,5.1815237563706e-22
7.27047321092904e-21,4.818834524612972e-22
