DeltaE,B
5.168758294399827e-17,5900.0
5.2223163458142066e-17,6000.0
4.335489149792459e-17,5000.0
4.449476458970452e-17,5103.0
4.449476458970452e-17,5203.0
4.671584626418581e-17,5299.0
4.7275678132309113e-17,5400.0
4.783146812033302e-17,5500.0
4.6726008292082787e-17,5600.0
4.9765588595527204e-17,5700.0
5.114796052541377e-17,5800.0
