mu,sigmu
8.760607278643774e-21,2.5046398650800814e-22
8.70386057635701e-21,2.4566071962332805e-22
8.670978299584918e-21,2.97107993317439e-22
8.719334624672648e-21,2.90032151123461e-22
8.551751795061411e-21,2.839876147545972e-22
8.81597400720623e-21,2.8069806010428083e-22
8.754755209686872e-21,2.747161108537362e-22
8.696630567333276e-21,2.6901423603679364e-22
8.343930052157641e-21,2.6113041885089207e-22
8.730805016759159e-21,2.594095351923776e-22
8.818613883692028e-21,2.5543919834413755e-22
