DeltaE,B
2.6879543860300862e-17,1501.0
1.0701288558140496e-17,601.0
1.2805170825701424e-17,701.0
1.565076341515116e-17,801.0
1.631568231420741e-17,901.0
1.849635544817744e-17,1001.0
1.9919151224416773e-17,1101.0
2.134194682361236e-17,1201.0
2.3409452378550138e-17,1301.0
2.5464832421278964e-17,1401.0
